condition_code,condition_display,records,patients
73595000,Stress (finding),2246,416
160903007,Full-time employment (finding),6379,389
444814009,Viral sinusitis (disorder),585,351
160904001,Part-time employment (finding),976,318
422650009,Social isolation (finding),515,300
423315002,Limited social contact (finding),535,296
224299000,Received higher education (finding),257,257
195662009,Acute viral pharyngitis (disorder),347,252
741062008,Not in labor force (finding),421,226
10509002,Acute bronchitis (disorder),266,218
706893006,Victim of intimate partner abuse (finding),379,214
162864005,Body mass index 30+ - obesity (finding),209,209
424393004,Reports of violence in the environment (finding),260,184
15777000,Prediabetes,155,155
271737000,Anemia (disorder),145,145
59621000,Hypertension,141,141
160968000,Risk activity involvement (finding),179,135
5251000175109,Received certificate of high school equivalency (finding),116,116
72892002,Normal pregnancy,258,104
19169002,Miscarriage in first trimester,96,96
266948004,Has a criminal record (finding),95,95
278860009,Chronic low back pain (finding),91,91
40055000,Chronic sinusitis (disorder),88,87
65363002,Otitis media,107,78
105531004,Housing unsatisfactory (finding),74,74
10939881000119104,Unhealthy alcohol drinking behavior (finding),82,73
43878008,Streptococcal sore throat (disorder),78,73
80583007,Severe anxiety (panic) (finding,59,54
1121000119107,Chronic neck pain (finding),54,54
224295006,Only received primary school education (finding),54,54
44465007,Sprain of ankle,55,53
713458007,Lack of access to transportation (finding),52,52
266934004,Transport problems (finding),51,51
55822004,Hyperlipidemia,50,50
840544004,Suspected COVID-19,45,45
840539006,COVID-19,43,43
75498004,Acute bacterial sinusitis (disorder),38,37
386661006,Fever (finding),37,37
73438004,Unemployed (finding),37,37
361055000,Misuses drugs (finding),36,36
49727002,Cough (finding),34,34
44054006,Diabetes,32,32
302870006,Hypertriglyceridemia (disorder),31,31
64859006,Osteoporosis (disorder),30,30
237602007,Metabolic syndrome X (disorder),29,29
428251008,History of appendectomy,29,29
74400008,Appendicitis,29,29
68496003,Polyp of colon,30,28
36971009,Sinusitis (disorder),29,28
62106007,Concussion with no loss of consciousness,29,28
446654005,Refugee (person),28,28
124171000119105,Chronic intractable migraine without aura,26,26
128613002,Seizure disorder,26,26
703151001,History of single seizure (situation),26,26
283385000,Laceration of thigh,26,25
230690007,Stroke,25,25
53741008,Coronary Heart Disease,25,25
239873007,Osteoarthritis of knee,22,22
82423001,Chronic pain,22,22
263102004,Fracture subluxation of wrist,22,21
156073000,Fetus with unknown complication,21,21
196416002,Impacted molars,21,21
55680006,Drug overdose,21,21
39848009,Whiplash injury to neck,21,20
65966004,Fracture of forearm,21,20
70704007,Sprain of wrist,20,20
301011002,Escherichia coli urinary tract infection,21,19
36955009,Loss of taste (finding),19,19
410429000,Cardiac Arrest,19,19
429007001,History of cardiac arrest (situation),19,19
80394007,Hyperglycemia (disorder),19,19
284549007,Laceration of hand,19,18
49436004,Atrial Fibrillation,18,18
224355006,Served in armed forces (finding),17,17
233678006,Childhood asthma,17,17
26929004,Alzheimer's disease (disorder),17,17
16114001,Fracture of ankle,16,16
24079001,Atopic dermatitis,16,16
248595008,Sputum finding (finding),16,16
370247008,Facial laceration,16,16
284551006,Laceration of foot,15,15
84229001,Fatigue (finding),15,15
91302008,Sepsis (disorder),15,15
283371005,Laceration of forearm,14,14
233604007,Pneumonia (disorder),13,13
79586000,Tubal pregnancy,13,13
84757009,Epilepsy,13,13
232353008,Perennial allergic rhinitis with seasonal variation,12,12
25064002,Headache (finding),12,12
403190006,First degree burn,12,12
58150001,Fracture of clavicle,12,12
38822007,Cystitis,13,11
127013003,Diabetic renal disease (disorder),11,11
198992004,Antepartum eclampsia,11,11
201834006,"Localized, primary osteoarthritis of the hand",11,11
307731004,Injury of tendon of the rotator cuff of shoulder,11,11
32911000,Homeless (finding),11,11
192127007,Child attention deficit disorder,10,10
203082005,Fibromyalgia (disorder),10,10
271825005,Respiratory distress (finding),10,10
367498001,Seasonal allergic rhinitis,10,10
389087006,Hypoxemia (disorder),10,10
431855005,Chronic kidney disease stage 1 (disorder),10,10
446096008,Perennial allergic rhinitis,10,10
62564004,Concussion with loss of consciousness,10,10
713197008,Recurrent rectal polyp,10,10
88805009,Chronic congestive heart failure (disorder),10,10
359817006,Closed fracture of hip,9,9
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder),9,9
403191005,Second degree burn,9,9
443165006,Pathological fracture due to osteoporosis (disorder),10,8
126906006,Neoplasm of prostate,8,8
267036007,Dyspnea (finding),8,8
398254007,Preeclampsia,8,8
422034002,Diabetic retinopathy associated with type II diabetes mellitus (disorder),8,8
56018004,Wheezing (finding),8,8
22298006,Myocardial Infarction,7,7
239872002,Osteoarthritis of hip,7,7
33737001,Fracture of rib,7,7
399211009,History of myocardial infarction (situation),7,7
47693006,Rupture of appendix,7,7
92691004,Carcinoma in situ of prostate (disorder),7,7
110030002,Concussion injury of brain,6,6
197927001,Recurrent urinary tract infection,6,6
241929008,Acute allergic reaction,6,6
254837009,Malignant neoplasm of breast (disorder),6,6
43724002,Chill (finding),6,6
5602001,Opioid abuse (disorder),6,6
1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),5,5
162573006,Suspected lung cancer (situation),5,5
254637007,Non-small cell lung cancer (disorder),5,5
267102003,Sore throat symptom (finding),5,5
30832001,Rupture of patellar tendon,5,5
35999006,Blighted ovum,5,5
40275004,Contact dermatitis,5,5
408512008,Body mass index 40+ - severely obese (finding),5,5
424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)",5,5
87433001,Pulmonary emphysema (disorder),5,5
233604007,Pneumonia,4,4
236077008,Protracted diarrhea,4,4
363406005,Malignant tumor of colon,4,4
427419006,Transformed migraine (disorder),4,4
449868002,Smokes tobacco daily,4,4
57676002,Joint pain (finding),4,4
6072007,Bleeding from anus,4,4
68962001,Muscle pain (finding),4,4
706870000,Acute pulmonary embolism (disorder),4,4
770349000,Sepsis caused by virus (disorder),4,4
90560007,Gout,4,4
