medication_code,medication_display,requests,patients
313782,Acetaminophen 325 MG Oral Tablet,285,227
849574,Naproxen sodium 220 MG Oral Tablet,126,111
562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,125,109
314076,lisinopril 10 MG Oral Tablet,3777,99
310798,Hydrochlorothiazide 25 MG Oral Tablet,3281,88
308136,amLODIPine 2.5 MG Oral Tablet,2816,76
310965,Ibuprofen 200 MG Oral Tablet,79,71
1043400,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,64,61
1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,59,59
198405,Ibuprofen 100 MG Oral Tablet,67,56
313820,Acetaminophen 160 MG Chewable Tablet,68,55
314231,Simvastatin 10 MG Oral Tablet,904,49
308192,Amoxicillin 500 MG Oral Tablet,60,48
757594,Jolivette 28 Day Pack,66,40
389221,Etonogestrel 68 MG Drug Implant,61,39
834061,Penicillin V Potassium 250 MG Oral Tablet,46,39
748879,Levora 0.15/30 28 Day Pack,43,39
856987,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,201,37
749762,Seasonique 91 Day Pack,48,37
2123111,NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler,1201,36
1000126,1 ML medroxyprogesterone acetate 150 MG/ML Injection,43,35
831533,Errin 28 Day Pack,43,35
895994,120 ACTUAT Fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler,1199,34
309362,Clopidogrel 75 MG Oral Tablet,245,34
978950,Natazia 28 Day Pack,37,34
748962,Camila 28 Day Pack,45,33
751905,Trinessa 28 Day Pack,36,32
748856,Yaz 28 Day Pack,40,31
807283,Mirena 52 MG Intrauterine System,34,30
834102,Penicillin V Potassium 500 MG Oral Tablet,29,29
206905,Ibuprofen 400 MG Oral Tablet [Ibu],285,28
1094107,Phenazopyridine hydrochloride 100 MG Oral Tablet,35,28
311989,Nitrofurantoin 5 MG/ML Oral Suspension,35,28
705129,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,352,25
2001499,Vitamin B 12 5 MG/ML Injectable Solution,25,25
1367439,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal Ring,24,23
861467,Meperidine Hydrochloride 50 MG Oral Tablet,24,22
904419,Alendronic acid 10 MG Oral Tablet,22,22
312961,Simvastatin 20 MG Oral Tablet,268,21
1049630,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,21,21
197361,Amlodipine 5 MG Oral Tablet,251,20
209387,Acetaminophen 325 MG Oral Tablet [Tylenol],217,20
1534809,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,23,20
1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection,21,20
860975,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,1030,19
197604,Digoxin 0.125 MG Oral Tablet,713,18
855332,Warfarin Sodium 5 MG Oral Tablet,713,18
897718,Verapamil Hydrochloride 40 MG,702,18
1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],162,18
1804799,Alteplase 100 MG Injection,18,18
310325,ferrous sulfate 325 MG Oral Tablet,18,18
106258,Hydrocortisone 10 MG/ML Topical Cream,20,17
665078,Loratadine 5 MG Chewable Tablet,17,17
308182,Amoxicillin 250 MG Oral Capsule,16,16
309097,Cefuroxime 250 MG Oral Tablet,16,16
477045,Chlorpheniramine Maleate 2 MG/ML Oral Solution,16,16
1856546,Kyleena 19.5 MG Intrauterine System,17,15
1659131,piperacillin 2000 MG / tazobactam 250 MG Injection,15,15
1807510,150 ML vancomycin 5 MG/ML Injection,15,15
245134,72 HR Fentanyl 0.025 MG/HR Transdermal System,121,14
1049221,Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet,13,13
1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],100,12
1860491,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule,99,12
835603,tramadol hydrochloride 50 MG Oral Tablet,93,12
1014676,cetirizine hydrochloride 5 MG Oral Tablet,12,12
997488,Fexofenadine hydrochloride 30 MG Oral Tablet,12,12
106892,"insulin human, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Humulin]",1343,11
1605257,Liletta 52 MG Intrauterine System,11,11
857005,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet,11,11
1049221,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet,39,10
313988,Furosemide 40 MG Oral Tablet,34,10
197591,Diazepam 5 MG Oral Tablet,11,10
198440,Acetaminophen 500 MG Oral Tablet,10,10
310436,Galantamine 4 MG Oral Tablet,10,10
854235,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,10,10
1719286,10 ML Furosemide 10 MG/ML Injection,9,9
204892,clonazePAM 0.25 MG Oral Tablet,12,8
1190795,Atropine Sulfate 1 MG/ML Injectable Solution,8,8
1660014,1 ML Epinephrine 1 MG/ML Injection,8,8
1860154,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet,42,7
198014,Naproxen 500 MG Oral Tablet,8,7
1736776,10 ML oxaliplatin 5 MG/ML Injection,7,7
1803932,Leucovorin 100 MG Injection,7,7
1860480,1 ML DOCEtaxel 20 MG/ML Injection,7,7
752899,0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe,7,7
834357,3 ML Amiodarone hydrocholoride 50 MG/ML Prefilled Syringe,7,7
996740,Memantine hydrochloride 2 MG/ML Oral Solution,7,7
896209,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,187,6
1649987,doxycycline hyclate 100 MG,6,6
197378,Astemizole 10 MG Oral Tablet,6,6
312617,predniSONE 5 MG Oral Tablet,6,6
833036,Captopril 25 MG Oral Tablet,6,6
854252,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe,6,6
1736854,Cisplatin 50 MG Injection,200,5
583214,PACLitaxel 100 MG Injection,200,5
856987,Acetaminophen 300 MG / HYDROcodone Bitartrate 5 MG Oral Tablet,34,5
243670,Aspirin 81 MG Oral Tablet,6,5
242969,4 ML norepinephrine 1 MG/ML Injection,5,5
308971,Carbamazepine[Tegretol],5,5
993770,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet,32,4
749882,Norinyl 1+50 28 Day Pack,5,4
198031,24hr nicotine transdermal patch,4,4
259255,Atorvastatin 80 MG Oral Tablet,4,4
608139,atomoxetine 100 MG Oral Capsule,4,4
351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,30,3
583214,Paclitaxel 100 MG Injection,24,3
200033,carvedilol 25 MG Oral Tablet,8,3
749785,Ortho Tri-Cyclen 28 Day Pack,7,3
197319,Allopurinol 100 MG Oral Tablet,5,3
311995,"NITROFURANTOIN, MACROCRYSTALS 50 MG Oral Capsule",3,3
997223,Donepezil hydrochloride 10 MG Oral Tablet,3,3
997501,Fexofenadine hydrochloride 60 MG Oral Tablet,3,3
1734919,Cyclophosphamide 1000 MG Injection,16,2
979492,losartan potassium 50 MG Oral Tablet,7,2
1740467,2 ML Ondansetron 2 MG/ML Injection,4,2
1014678,cetirizine hydrochloride 10 MG Oral Tablet,2,2
1091392,Methylphenidate Hydrochloride 20 MG Oral Tablet,2,2
1100184,Donepezil hydrochloride 23 MG Oral Tablet,2,2
1234995,Rocuronium bromide 10 MG/ML Injectable Solution,2,2
1366343,Levonorgestrel 0.00354 MG/HR Drug Implant,2,2
1601380,palbociclib 100 MG Oral Capsule,2,2
1659149,Piperacillin 4000 MG / tazobactam 500 MG Injection,2,2
1659263,"1 ML heparin sodium, porcine 5000 UNT/ML Injection",2,2
1732136,1 ML Morphine Sulfate 5 MG/ML Injection,2,2
1808217,100 ML Propofol 10 MG/ML Injection,2,2
197541,Colchicine 0.6 MG Oral Tablet,2,2
199224,anastrozole 1 MG Oral Tablet,2,2
212446,Azithromycin 250mg,2,2
311372,Loratadine 10 MG Oral Tablet,2,2
311700,Midazolam 1 MG/ML Injectable Solution,2,2
312938,Sertraline 100 MG Oral Tablet,2,2
313002,Sodium Chloride 9 MG/ML Injectable Solution,2,2
542347,Isoflurane 999 MG/ML Inhalant Solution,2,2
205923,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen],1079,1
1732186,100 ML Epirubicin Hydrochloride 2 MG/ML Injection,8,1
597195,Carboplatin 10 MG/ML Injectable Solution,8,1
1359133,Estrostep Fe 28 Day Pack,3,1
596926,duloxetine 20 MG Delayed Release Oral Capsule,3,1
284215,Clindamycin 300mg,2,1
105585,Methotrexate 2.5 MG Oral Tablet,1,1
1729584,remifentanil 2 MG Injection,1,1
1809104,5 ML SUFentanil 0.05 MG/ML Injection,1,1
1946840,Verzenio 100 MG Oral Tablet,1,1
235389,Mestranol / Norethynodrel [Enovid],1,1
309045,Cefaclor 250 MG Oral Capsule,1,1
312615,predniSONE 20 MG Oral Tablet,1,1
313185,Tacrine 10 MG Oral Capsule,1,1
314077,lisinopril 20 MG Oral Tablet,1,1
483438,pregabalin 100 MG Oral Capsule,1,1
727762,5 ML fulvestrant 50 MG/ML Prefilled Syringe,1,1
833135,Milnacipran hydrochloride 100 MG Oral Tablet,1,1
856980,Acetaminophen/Hydrocodone,1,1
966222,Levothyroxine Sodium 0.075 MG Oral Tablet,1,1
